problem,method,N,h,l2_error,linf_error,runtime_ms
2D Gaussian (smooth),upwind,256,0.02454369260617026,0.07802223299906892,0.16194522030305902,34.13844108581543
2D Gaussian (smooth),lax_wendroff,256,0.02454369260617026,0.003768144424421575,0.006731215955563807,98.64377975463867
2D Gaussian (smooth),upwind,128,0.04908738521234052,0.13682654283286577,0.2762872874418171,2.9354095458984375
2D Gaussian (smooth),lax_wendroff,128,0.04908738521234052,0.014970918357893406,0.026464761512360657,7.216691970825195
2D Gaussian (smooth),upwind,64,0.09817477042468103,0.22104144428501765,0.4280361467087651,0.789642333984375
2D Gaussian (smooth),lax_wendroff,64,0.09817477042468103,0.05732845731746364,0.09717575264668799,1.8541812896728516
2D Gaussian (smooth),upwind,32,0.19634954084936207,0.3243379009857515,0.5729773761300478,0.31185150146484375
2D Gaussian (smooth),lax_wendroff,32,0.19634954084936207,0.18427633385316516,0.2842322547681112,0.7824897766113281
2D Gaussian (smooth),upwind,16,0.39269908169872414,0.42622204092647653,0.6591502530009837,0.14138221740722656
2D Gaussian (smooth),lax_wendroff,16,0.39269908169872414,0.3894160724080806,0.5162806258554509,0.324249267578125
