problem,method,N,h,l2_error,linf_error,runtime_ms
2D disc (non-smooth),upwind,256,0.02454369260617026,0.3721331032881407,0.5902254540619307,33.69021415710449
2D disc (non-smooth),lax_wendroff,256,0.02454369260617026,0.2845981363317132,0.7325032282010449,99.37143325805664
2D disc (non-smooth),upwind,128,0.04908738521234052,0.4465569229424959,0.6273839494654153,3.048419952392578
2D disc (non-smooth),lax_wendroff,128,0.04908738521234052,0.358577741517888,0.6991498251487915,7.538557052612305
2D disc (non-smooth),upwind,64,0.09817477042468103,0.5430057784659276,0.642712197409832,0.7648468017578125
2D disc (non-smooth),lax_wendroff,64,0.09817477042468103,0.4309368962064456,0.6995517640558777,1.828908920288086
2D disc (non-smooth),upwind,32,0.19634954084936207,0.6541949071575626,0.6511724050592413,0.32830238342285156
2D disc (non-smooth),lax_wendroff,32,0.19634954084936207,0.5442833640051549,0.6518447749141307,0.6937980651855469
2D disc (non-smooth),upwind,16,0.39269908169872414,0.8595635829664262,0.8354142406521966,0.13947486877441406
2D disc (non-smooth),lax_wendroff,16,0.39269908169872414,0.8171533294149369,0.8438426735022544,0.3352165222167969
